ExamID,StudentID,CourseID,Duration,TotalScore,GradeChar,j
145,145,1,23,80,B,
146,146,1,18,90,A,
147,147,1,23,80,B,
148,148,1,21,100,A,
149,149,1,4,100,A,
150,150,1,6,100,A,
151,151,1,13,90,A,
152,152,1,11,100,A,
153,153,1,30,90,A,
154,154,1,26,70,B,
155,155,1,1,100,A,
156,156,1,21,90,A,
157,157,1,3,100,A,
158,158,1,20,80,B,
159,159,1,26,90,A,
160,160,1,25,80,B,
161,161,1,21,60,C,
162,162,1,2,90,A,
163,163,1,3,80,B,
164,164,1,10,90,A,
165,165,1,11,70,B,
166,166,1,25,90,A,
167,167,1,20,80,B,
168,168,1,9,100,A,
169,169,1,2,90,A,
170,170,1,25,80,B,
171,171,1,30,80,B,
172,172,1,22,70,B,
173,173,1,15,90,A,
174,174,1,26,80,B,
175,175,1,14,70,B,
176,176,1,29,60,C,
177,177,1,12,90,A,
178,178,1,21,90,A,
179,179,1,28,80,B,
180,180,1,3,70,B,
181,181,1,27,100,A,
182,182,1,23,80,B,
183,183,1,23,70,B,
184,184,1,20,70,B,
185,185,1,15,100,A,
186,186,1,25,60,C,
187,187,1,14,90,A,
188,188,1,26,80,B,
189,189,1,21,100,A,
190,190,1,27,90,A,
191,191,1,22,70,B,
192,192,1,12,100,A,
193,193,1,26,100,A,
194,194,1,10,60,C,
195,195,1,13,90,A,
196,196,1,10,100,A,
197,197,1,21,70,B,
198,198,1,25,90,A,
199,199,1,24,90,A,
200,200,1,10,80,B,
201,201,1,13,90,A,
202,202,1,28,100,A,
203,203,1,18,90,A,
204,204,1,4,100,A,
205,205,1,13,70,B,
206,206,1,15,100,A,
207,207,1,17,80,B,
208,208,1,13,80,B,
209,209,1,23,80,B,
210,210,1,17,70,B,
211,211,1,18,80,B,
212,212,1,26,90,A,
213,213,1,24,100,A,
214,214,1,20,80,B,
215,215,1,29,90,A,
216,216,1,26,70,B,
217,217,1,22,70,B,
218,218,1,26,90,A,
219,219,1,21,90,A,
220,220,1,23,90,A,
221,221,1,28,70,B,
222,222,1,14,90,A,
223,223,1,3,90,A,
224,224,1,10,90,A,
225,225,1,11,90,A,
226,226,1,20,80,B,
227,227,1,15,100,A,
228,228,1,22,70,B,
229,229,1,22,90,A,
230,230,1,17,90,A,
231,231,1,29,80,B,
232,232,1,4,90,A,
233,233,1,18,100,A,
234,234,1,24,90,A,
235,235,1,25,90,A,
236,236,1,4,80,B,
237,237,1,11,80,B,
238,238,1,23,90,A,
239,239,1,18,90,A,
240,240,1,30,80,B,
241,241,1,10,80,B,
242,242,1,12,100,A,
243,243,1,11,80,B,
244,244,1,26,80,B,
245,245,1,23,80,B,
246,246,1,19,100,A,
247,247,1,3,100,A,
248,248,1,20,100,A,
249,249,1,11,80,B,
250,250,1,23,90,A,
251,251,1,3,90,A,
252,252,1,22,100,A,
253,253,1,14,90,A,
254,254,1,27,90,A,
255,255,1,4,100,A,
256,256,1,23,100,A,
257,257,1,20,90,A,
258,258,1,9,80,B,
259,259,1,3,90,A,
260,260,1,20,90,A,
261,261,1,15,60,C,
262,262,1,11,100,A,
263,263,1,3,80,B,
264,264,1,14,90,A,
265,265,1,26,70,B,
266,266,1,2,90,A,
267,267,1,3,80,B,
268,268,1,23,90,A,
269,269,1,25,90,A,
270,270,1,25,80,B,
271,271,1,13,80,B,
272,272,1,8,70,B,
273,273,1,6,100,A,
274,274,1,18,70,B,
275,275,1,20,80,B,
276,276,1,26,60,C,
277,277,1,11,100,A,
278,278,1,23,90,A,
279,279,1,18,60,C,
280,280,1,23,80,B,
281,281,1,28,90,A,
282,282,1,21,90,A,
283,283,1,20,80,B,
284,284,1,23,90,A,
285,285,1,7,100,A,
286,286,1,2,70,B,
287,287,1,26,100,A,
288,288,1,21,80,B,
289,289,1,15,90,A,
290,290,1,5,80,B,
291,291,1,29,70,B,
292,292,1,27,100,A,
293,293,1,3,100,A,
294,294,1,13,50,C,
295,295,1,13,100,A,
296,296,1,22,100,A,
297,297,1,25,80,B,
298,298,1,25,90,A,
299,299,1,22,100,A,
300,300,1,25,80,B,
301,301,1,22,90,A,
302,302,1,22,80,B,
303,303,1,23,70,B,
304,304,1,13,100,A,
305,305,1,13,70,B,
306,306,1,12,100,A,
307,307,1,12,70,B,
308,308,1,20,80,B,
309,309,1,2,80,B,
310,310,1,3,70,B,
311,311,1,29,80,B,
312,312,1,16,80,B,
313,313,1,11,100,A,
314,314,1,26,80,B,
315,315,1,12,90,A,
316,316,1,30,60,C,
317,317,1,19,80,B,
318,318,1,9,90,A,
319,319,1,10,90,A,
320,320,1,19,80,B,
321,321,1,22,70,B,
322,322,1,7,90,A,
323,323,1,16,100,A,
324,324,1,6,80,B,
325,325,1,23,90,A,
326,326,1,25,90,A,
327,327,1,9,100,A,
328,328,1,19,70,B,
329,329,1,21,90,A,
330,330,1,29,90,A,
331,331,1,4,60,C,
332,332,1,22,90,A,
333,333,1,18,90,A,
334,334,1,24,90,A,
335,335,1,25,90,A,
336,336,1,26,70,B,
337,337,1,25,80,B,
338,338,1,13,100,A,
339,339,1,27,90,A,
340,340,1,21,90,A,
341,341,1,23,70,B,
342,342,1,25,90,A,
343,343,1,16,90,A,
344,344,1,7,90,A,
345,345,1,28,80,B,
346,346,1,25,90,A,
347,347,1,20,90,A,
348,348,1,20,100,A,
349,349,1,20,90,A,
350,350,1,27,70,B,
351,351,1,10,100,A,
352,352,1,25,100,A,
353,353,1,25,90,A,
354,354,1,11,100,A,
355,355,1,11,100,A,
356,356,1,1,90,A,
357,357,1,27,90,A,
358,358,1,8,90,A,
359,359,1,12,90,A,
360,360,1,13,80,B,
361,361,1,4,60,C,
362,362,1,6,90,A,
363,363,1,14,90,A,
364,364,1,12,100,A,
365,365,1,21,90,A,
366,366,1,17,100,A,
367,367,1,19,90,A,
368,368,1,20,90,A,
369,369,1,5,90,A,
370,370,1,23,90,A,
371,371,1,26,70,B,
372,372,1,1,60,C,
373,373,1,12,100,A,
374,374,1,26,70,B,
375,375,1,7,60,C,
376,376,1,14,70,B,
377,377,1,21,90,A,
378,378,1,8,100,A,
379,379,1,10,70,B,
380,380,1,10,90,A,
381,381,1,23,100,A,
382,382,1,11,80,B,
383,383,1,20,80,B,
384,384,1,2,80,B,
385,385,1,26,100,A,
386,386,1,2,70,B,
387,387,1,16,90,A,
388,388,1,16,70,B,
389,389,1,24,90,A,
390,390,1,5,90,A,
391,391,1,18,90,A,
392,392,1,12,100,A,
393,393,1,8,100,A,
394,394,1,17,50,C,
395,395,1,1,100,A,
396,396,1,23,90,A,
397,397,1,29,70,B,
398,398,1,11,90,A,
399,399,1,2,90,A,
400,400,1,25,80,B,
401,401,1,19,90,A,
402,402,1,13,80,B,
403,403,1,10,70,B,
404,404,1,9,100,A,
405,405,1,7,80,B,
406,406,1,26,100,A,
407,407,1,23,80,B,
408,408,1,29,90,A,
409,409,1,13,80,B,
410,410,1,23,60,C,
411,411,1,26,70,B,
412,412,1,14,80,B,
413,413,1,3,90,A,
414,414,1,18,90,A,
415,415,1,15,100,A,
416,416,1,11,70,B,
417,417,1,23,80,B,
418,418,1,3,100,A,
419,419,1,24,80,B,
420,420,1,12,90,A,
421,421,1,6,70,B,
422,422,1,22,90,A,
423,423,1,16,90,A,
424,424,1,28,80,B,
425,425,1,13,80,B,
426,426,1,5,100,A,
427,427,1,22,100,A,
428,428,1,23,70,B,
429,429,1,29,90,A,
430,430,1,24,90,A,
431,431,1,22,90,A,
432,432,1,27,70,B,
433,433,1,14,90,A,
434,434,1,5,100,A,
435,435,1,23,100,A,
436,436,1,29,90,A,
437,437,1,23,90,A,
438,438,1,30,90,A,
439,439,1,26,100,A,
440,440,1,23,80,B,
441,441,1,14,70,B,
442,442,1,14,90,A,
443,443,1,27,80,B,
444,444,1,29,70,B,
445,445,1,11,100,A,
446,446,1,22,90,A,
447,447,1,13,90,A,
448,448,1,10,100,A,
449,449,1,9,90,A,
450,450,1,22,80,B,
451,451,1,10,90,A,
452,452,1,10,100,A,
453,453,1,29,90,A,
454,454,1,22,90,A,
455,455,1,26,100,A,
456,456,1,17,90,A,
457,457,1,25,90,A,
458,458,1,30,80,B,
459,459,1,18,90,A,
460,460,1,23,80,B,
461,461,1,23,50,C,
462,462,1,26,100,A,
463,463,1,16,90,A,
464,464,1,9,100,A,
465,465,1,17,80,B,
466,466,1,23,100,A,
467,467,1,11,80,B,
468,468,1,13,90,A,
469,469,1,14,80,B,
470,470,1,9,80,B,
471,471,1,28,90,A,
472,472,1,10,60,C,
473,473,1,7,100,A,
474,474,1,14,80,B,
475,475,1,17,70,B,
476,476,1,16,70,B,
477,477,1,18,100,A,
478,478,1,8,100,A,
479,479,1,7,60,C,
480,480,1,2,80,B,
481,481,1,24,90,A,
482,482,1,19,80,B,
483,483,1,25,50,C,
484,484,1,20,80,B,
485,485,1,11,90,A,
486,486,1,29,80,B,
487,487,1,14,80,B,
488,488,1,7,80,B,
489,489,1,10,100,A,
490,490,1,2,80,B,
491,491,1,24,100,A,
492,492,1,21,100,A,
493,493,1,26,90,A,
494,494,1,22,50,C,
495,495,1,16,100,A,
496,496,1,25,90,A,
497,497,1,26,80,B,
498,498,1,18,100,A,
499,499,1,14,100,A,
500,500,1,7,70,B,
501,501,1,16,90,A,
502,502,1,12,100,A,
503,503,1,21,70,B,
504,504,1,8,80,B,
505,505,1,24,80,B,
506,506,1,15,90,A,
507,507,1,28,90,A,
508,508,1,23,80,B,
509,509,1,27,70,B,
510,510,1,27,90,A,
511,511,1,22,70,B,
512,512,1,23,100,A,
513,513,1,20,100,A,
514,514,1,2,80,B,
515,515,1,23,100,A,
516,516,1,28,80,B,
517,517,1,25,90,A,
518,518,1,25,90,A,
519,519,1,6,80,B,
520,520,1,25,90,A,
521,521,1,25,70,B,
522,522,1,24,100,A,
523,523,1,9,90,A,
524,524,1,27,90,A,
525,525,1,23,70,B,
526,526,1,22,90,A,
527,527,1,4,90,A,
528,528,1,12,70,B,
529,529,1,12,100,A,
530,530,1,25,90,A,
531,531,1,3,60,C,
532,532,1,16,80,B,
533,533,1,28,90,A,
534,534,1,30,100,A,
535,535,1,30,90,A,
536,536,1,16,80,B,
537,537,1,21,80,B,
538,538,1,18,100,A,
539,539,1,29,100,A,
540,540,1,22,80,B,
541,541,1,8,80,B,
542,542,1,26,90,A,
543,543,1,4,90,A,
544,544,1,22,90,A,
545,545,1,20,90,A,
546,546,1,7,100,A,
547,547,1,21,100,A,
548,548,1,29,100,A,
549,549,1,23,90,A,
550,550,1,8,70,B,
551,551,1,6,90,A,
552,552,1,17,100,A,
553,553,1,18,80,B,
554,554,1,25,80,B,
555,555,1,29,100,A,
556,556,1,24,90,A,
557,557,1,14,90,A,
558,558,1,23,80,B,
559,559,1,20,90,A,
560,560,1,5,80,B,
561,561,1,23,70,B,
562,562,1,20,100,A,
563,563,1,22,100,A,
564,564,1,5,100,A,
565,565,1,26,70,B,
566,566,1,10,90,A,
567,567,1,21,90,A,
568,568,1,23,90,A,
569,569,1,23,90,A,
570,570,1,18,80,B,
571,571,1,15,80,B,
572,572,1,23,70,B,
573,573,1,17,90,A,
574,574,1,5,70,B,
575,575,1,23,60,C,
576,576,1,2,70,B,
577,577,1,14,90,A,
578,578,1,29,90,A,
579,579,1,26,60,C,
580,580,1,22,100,A,
581,581,1,12,80,B,
582,582,1,15,90,A,
583,583,1,27,70,B,
584,584,1,26,80,B,
585,585,1,13,100,A,
586,586,1,26,70,B,
587,587,1,24,80,B,
588,588,1,21,90,A,
589,589,1,27,80,B,
590,590,1,26,80,B,
591,591,1,23,80,B,
592,592,1,9,100,A,
593,593,1,15,80,B,
594,594,1,23,50,C,
595,595,1,18,100,A,
596,596,1,5,90,A,
597,597,1,18,60,C,
598,598,1,13,100,A,
599,599,1,17,90,A,
600,600,1,19,70,B,
601,601,1,24,90,A,
602,602,1,24,70,B,
603,603,1,28,70,B,
604,604,1,1,80,B,
605,605,1,6,80,B,
606,606,1,20,90,A,
607,607,1,22,80,B,
608,608,1,4,80,B,
609,609,1,2,60,C,
610,610,1,14,70,B,
611,611,1,15,80,B,
612,612,1,27,100,A,
613,613,1,21,90,A,
614,614,1,25,70,B,
615,615,1,1,90,A,
616,616,1,23,60,C,
617,617,1,10,90,A,
618,618,1,10,90,A,
619,619,1,19,80,B,
620,620,1,28,90,A,
621,621,1,6,60,C,
622,622,1,10,100,A,
623,623,1,20,80,B,
624,624,1,13,100,A,
625,625,1,20,70,B,
626,626,1,23,90,A,
627,627,1,23,80,B,
628,628,1,29,80,B,
629,629,1,20,100,A,
630,630,1,23,90,A,
631,631,1,10,80,B,
632,632,1,25,90,A,
633,633,1,13,100,A,
634,634,1,17,100,A,
635,635,1,24,90,A,
636,636,1,21,80,B,
637,637,1,21,80,B,
638,638,1,14,100,A,
639,639,1,23,90,A,
640,640,1,6,80,B,
641,641,1,17,70,B,
642,642,1,16,90,A,
643,643,1,23,100,A,
644,644,1,21,70,B,
645,645,1,11,70,B,
646,646,1,9,80,B,
647,647,1,26,100,A,
648,648,1,16,90,A,
649,649,1,22,100,A,
650,650,1,26,80,B,
651,651,1,23,100,A,
652,652,1,14,100,A,
653,653,1,23,70,B,
654,654,1,9,100,A,
655,655,1,18,100,A,
656,656,1,22,80,B,
657,657,1,30,90,A,
658,658,1,27,80,B,
659,659,1,12,100,A,
660,660,1,19,70,B,
661,661,1,22,80,B,
662,662,1,8,90,A,
663,663,1,23,90,A,
664,664,1,16,100,A,
665,665,1,27,90,A,
666,666,1,23,90,A,
667,667,1,19,80,B,
668,668,1,17,100,A,
669,669,1,20,80,B,
670,670,1,13,80,B,
671,671,1,19,80,B,
672,672,1,27,70,B,
673,673,1,11,90,A,
674,674,1,26,90,A,
675,675,1,25,60,C,
676,676,1,19,80,B,
677,677,1,1,90,A,
678,678,1,26,90,A,
679,679,1,23,90,A,
680,680,1,13,90,A,
681,681,1,2,100,A,
682,682,1,20,80,B,
683,683,1,28,70,B,
684,684,1,26,90,A,
685,685,1,15,90,A,
686,686,1,10,80,B,
687,687,1,12,80,B,
688,688,1,22,100,A,
689,689,1,28,80,B,
690,690,1,8,60,C,
691,691,1,23,90,A,
692,692,1,13,100,A,
693,693,1,18,100,A,
694,694,1,10,80,B,
695,695,1,19,100,A,
696,696,1,15,90,A,
697,697,1,4,80,B,
698,698,1,20,100,A,
699,699,1,4,90,A,
700,700,1,14,80,B,
701,701,1,10,70,B,
702,702,1,21,80,B,
703,703,1,15,80,B,
704,704,1,29,80,B,
705,705,1,25,90,A,
706,706,1,4,80,B,
707,707,1,25,90,A,
708,708,1,19,90,A,
709,709,1,1,80,B,
710,710,1,21,70,B,
711,711,1,21,60,C,
712,712,1,26,90,A,
713,713,1,17,100,A,
714,714,1,16,80,B,
715,715,1,28,80,B,
716,716,1,21,90,A,
717,717,1,23,90,A,
718,718,1,4,90,A,
719,719,1,14,90,A,
720,720,1,15,80,B,
721,721,1,21,90,A,
722,722,1,12,100,A,
723,723,1,8,80,B,
724,724,1,9,100,A,
725,725,1,20,80,B,
726,726,1,20,90,A,
727,727,1,18,80,B,
728,728,1,9,90,A,
729,729,1,10,100,A,
730,730,1,28,90,A,
731,731,1,16,90,A,
732,732,1,11,100,A,
733,733,1,23,90,A,
734,734,1,8,100,A,
735,735,1,29,90,A,
736,736,1,22,80,B,
737,737,1,26,90,A,
738,738,1,4,100,A,
739,739,1,7,80,B,
740,740,1,22,80,B,
741,741,1,20,70,B,
742,742,1,14,100,A,
743,743,1,20,90,A,
744,744,1,25,70,B,
745,745,1,14,70,B,
746,746,1,29,90,A,
747,747,1,21,100,A,
748,748,1,15,100,A,
749,749,1,4,90,A,
750,750,1,4,70,B,
751,751,1,13,100,A,
752,752,1,13,100,A,
753,753,1,23,80,B,
754,754,1,23,90,A,
755,755,1,16,100,A,
756,756,1,23,80,B,
757,757,1,3,80,B,
758,758,1,9,90,A,
759,759,1,22,100,A,
760,760,1,1,70,B,
761,761,1,6,70,B,
762,762,1,20,80,B,
763,763,1,26,100,A,
764,764,1,4,80,B,
765,765,1,3,90,A,
766,766,1,10,100,A,
767,767,1,17,80,B,
768,768,1,4,100,A,
769,769,1,5,70,B,
770,770,1,26,90,A,
771,771,1,4,80,B,
772,772,1,25,70,B,
773,773,1,8,90,A,
774,774,1,26,70,B,
775,775,1,16,60,C,
776,776,1,12,80,B,
777,777,1,23,100,A,
778,778,1,29,70,B,
779,779,1,25,60,C,
780,780,1,27,90,A,
781,781,1,20,90,A,
782,782,1,3,100,A,
783,783,1,17,70,B,
784,784,1,15,100,A,
785,785,1,21,70,B,
786,786,1,24,70,B,
787,787,1,3,100,A,
788,788,1,21,100,A,
789,789,1,28,90,A,
790,790,1,23,70,B,
791,791,1,5,100,A,
792,792,1,11,100,A,
793,793,1,14,90,A,
794,794,1,3,60,C,
795,795,1,21,100,A,
796,796,1,10,100,A,
797,797,1,18,70,B,
798,798,1,25,100,A,
799,799,1,3,80,B,
800,800,1,17,90,A,
801,801,1,21,70,B,
802,802,1,20,70,B,
803,803,1,26,100,A,
804,804,1,27,90,A,
805,805,1,22,100,A,
806,806,1,21,80,B,
807,807,1,3,100,A,
808,808,1,23,70,B,
809,809,1,20,70,B,
810,810,1,9,70,B,
811,811,1,2,70,B,
812,812,1,12,90,A,
813,813,1,21,90,A,
814,814,1,23,90,A,
815,815,1,23,70,B,
816,816,1,11,80,B,
817,817,1,18,90,A,
818,818,1,11,90,A,
819,819,1,11,80,B,
820,820,1,12,70,B,
821,821,1,15,70,B,
822,822,1,22,100,A,
823,823,1,20,70,B,
824,824,1,16,100,A,
825,825,1,25,90,A,
826,826,1,18,100,A,
827,827,1,28,90,A,
828,828,1,10,90,A,
829,829,1,14,90,A,
830,830,1,13,70,B,
831,831,1,24,90,A,
832,832,1,12,90,A,
833,833,1,13,100,A,
834,834,1,2,90,A,
835,835,1,12,100,A,
836,836,1,22,60,C,
837,837,1,14,90,A,
838,838,1,29,100,A,
839,839,1,21,70,B,
840,840,1,24,90,A,
841,841,1,27,80,B,
842,842,1,24,90,A,
843,843,1,25,90,A,
844,844,1,15,80,B,
845,845,1,29,90,A,
846,846,1,5,80,B,
847,847,1,23,100,A,
848,848,1,22,90,A,
849,849,1,2,90,A,
850,850,1,9,70,B,
851,851,1,8,100,A,
852,852,1,19,100,A,
853,853,1,2,90,A,
854,854,1,20,90,A,
855,855,1,3,90,A,
856,856,1,20,90,A,
857,857,1,10,70,B,
858,858,1,22,100,A,
859,859,1,20,80,B,
860,860,1,19,70,B,
861,861,1,4,70,B,
862,862,1,20,90,A,
863,863,1,13,90,A,
864,864,1,24,90,A,
865,865,1,24,80,B,
866,866,1,20,90,A,
867,867,1,16,100,A,
868,868,1,22,90,A,
869,869,1,16,100,A,
870,870,1,3,80,B,
871,871,1,25,90,A,
872,872,1,22,70,B,
873,873,1,10,80,B,
874,874,1,22,80,B,
875,875,1,7,90,A,
876,876,1,26,90,A,
877,877,1,25,90,A,
878,878,1,26,80,B,
879,879,1,14,80,B,
880,880,1,10,80,B,
881,881,1,23,90,A,
882,882,1,11,90,A,
883,883,1,17,50,C,
884,884,1,22,100,A,
885,885,1,25,80,B,
886,886,1,26,90,A,
887,887,1,13,100,A,
888,888,1,20,80,B,
889,889,1,16,80,B,
890,890,1,8,100,A,
891,891,1,22,100,A,
892,892,1,14,100,A,
893,893,1,28,100,A,
894,894,1,25,90,A,
895,895,1,18,100,A,
896,896,1,23,90,A,
897,897,1,26,70,B,
898,898,1,24,100,A,
899,899,1,24,90,A,
900,900,1,17,80,B,
901,901,1,21,80,B,
902,902,1,28,80,B,
903,903,1,7,80,B,
904,904,1,19,80,B,
905,905,1,23,80,B,
906,906,1,13,90,A,
907,907,1,4,90,A,
908,908,1,23,80,B,
909,909,1,23,70,B,
910,910,1,20,90,A,
911,911,1,25,70,B,
912,912,1,11,90,A,
913,913,1,18,90,A,
914,914,1,2,90,A,
915,915,1,19,70,B,
916,916,1,26,80,B,
917,917,1,14,90,A,
918,918,1,10,100,A,
919,919,1,7,90,A,
920,920,1,18,80,B,
921,921,1,20,80,B,
922,922,1,16,100,A,
923,923,1,22,70,B,
924,924,1,12,90,A,
925,925,1,14,80,B,
926,926,1,19,90,A,
927,927,1,25,80,B,
928,928,1,6,100,A,
929,929,1,11,100,A,
930,930,1,24,80,B,
931,931,1,26,100,A,
932,932,1,6,80,B,
933,933,1,25,90,A,
934,934,1,10,90,A,
935,935,1,6,100,A,
936,936,1,22,80,B,
937,937,1,6,100,A,
938,938,1,12,80,B,
939,939,1,11,80,B,
940,940,1,17,80,B,
941,941,1,11,90,A,
942,942,1,22,80,B,
943,943,1,16,90,A,
944,944,1,23,70,B,
945,945,1,23,90,A,
946,946,1,4,80,B,
947,947,1,14,100,A,
948,948,1,18,100,A,
949,949,1,14,90,A,
950,950,1,19,80,B,
951,951,1,6,100,A,
952,952,1,5,100,A,
953,953,1,20,80,B,
954,954,1,23,100,A,
955,955,1,21,100,A,
956,956,1,24,90,A,
957,957,1,19,70,B,
958,958,1,22,100,A,
959,959,1,22,80,B,
960,960,1,25,70,B,
961,961,1,14,80,B,
962,962,1,13,80,B,
963,963,1,25,100,A,
964,964,1,13,90,A,
965,965,1,26,90,A,
966,966,1,20,80,B,
967,967,1,6,90,A,
968,968,1,27,90,A,
969,969,1,27,80,B,
970,970,1,5,90,A,
971,971,1,23,70,B,
972,972,1,27,70,B,
973,973,1,14,90,A,
974,974,1,13,80,B,
975,975,1,7,70,B,
976,976,1,28,80,B,
977,977,1,21,90,A,
978,978,1,22,90,A,
979,979,1,23,60,C,
980,980,1,21,90,A,
981,981,1,5,90,A,
982,982,1,9,70,B,
983,983,1,26,50,C,
984,984,1,2,100,A,
985,985,1,1,70,B,
986,986,1,6,90,A,
987,987,1,10,90,A,
988,988,1,11,90,A,
989,989,1,26,80,B,
990,990,1,8,70,B,
991,991,1,4,100,A,
992,992,1,18,100,A,
993,993,1,5,70,B,
994,994,1,22,90,A,
995,995,1,22,100,A,
996,996,1,9,80,B,
997,997,1,23,80,B,
998,998,1,20,100,A,
999,999,1,22,90,A,
1000,1000,1,21,90,A,
1001,1001,1,7,80,B,
1002,1002,1,11,70,B,
1003,1003,1,9,90,A,
1004,1004,1,9,90,A,
1005,1005,1,23,80,B,
1006,1006,1,4,90,A,
1007,1007,1,24,90,A,
1008,1008,1,15,70,B,
1009,1009,1,12,80,B,
1010,1010,1,19,80,B,
1011,1011,1,27,80,B,
1012,1012,1,14,100,A,
1013,1013,1,5,100,A,
1014,1014,1,25,100,A,
1015,1015,1,18,80,B,
1016,1016,1,2,80,B,
1017,1017,1,7,90,A,
1018,1018,1,7,90,A,
1019,1019,1,3,80,B,
1020,1020,1,24,70,B,
1021,1021,1,11,90,A,
1022,1022,1,27,100,A,
1023,1023,1,17,80,B,
1024,1024,1,21,90,A,
1025,1025,1,23,90,A,
1026,1026,1,22,90,A,
1027,1027,1,4,70,B,
1028,1028,1,24,90,A,
1029,1029,1,6,100,A,
1030,1030,1,21,60,C,
1031,1031,1,23,90,A,
1032,1032,1,17,90,A,
1033,1033,1,20,100,A,
1034,1034,1,15,90,A,
1035,1035,1,16,90,A,
1036,1036,1,12,80,B,
1037,1037,1,26,100,A,
1038,1038,1,16,80,B,
1039,1039,1,3,80,B,
1040,1040,1,11,80,B,
1041,1041,1,20,80,B,
1042,1042,1,22,80,B,
1043,1043,1,9,100,A,
1044,1044,1,25,60,C,
1045,1045,1,24,90,A,
1046,1046,1,16,80,B,
1047,1047,1,6,100,A,
1048,1048,1,18,90,A,
1049,1049,1,3,100,A,
1050,1050,1,4,80,B,
1051,1051,1,11,100,A,
1052,1052,1,26,100,A,
1053,1053,1,22,70,B,
1054,1054,1,8,100,A,
1055,1055,1,25,90,A,
1056,1056,1,4,90,A,
1057,1057,1,11,80,B,
1058,1058,1,1,90,A,
1059,1059,1,27,100,A,
1060,1060,1,14,80,B,
1061,1061,1,26,90,A,
1062,1062,1,18,90,A,
