StudentID,City,Town
93,Sohag,Juhayna
94,Suez,Tala
95,Giza,Hihya
96,Alexandria,Tamiya
97,North Sinai,Qift
98,Cairo,El Hamam
99,Cairo,Beni Suef
100,Cairo,New Minya
101,Alexandria,Ras Shokeir
102,Dakahlia,El Santa
103,Alexandria,Ras El Bar
104,Cairo,New Nubariya
105,Mansoura,Farshut
106,Cairo,El Matareya
107,Cairo,Qallin
108,Alexandria,New Faiyum
109,Cairo,Kafr Saqr
110,Alexandria,El Arish
111,Cairo,Mallawi
112,Minya,Birket El Sab
113,Minya,El Matareya
114,Cairo,El Idwa
115,Ismailia,Hurghada
116,South Sinai,El Hamam
117,Minya,El Matareya
118,Gharbia,Ibsheway
119,Sohag,Tanta
120,Mansoura,El Shorouk
121,Red Sea,Itay El Barud
122,Gharbia,Girga
123,Beheira,New Akhmim
124,Minya,Menouf
125,Giza,Tala
126,Alexandria,Ihnasiya
127,Sohag,Edfu
128,Minya,Talkha
129,Asyut,Kafr El Batikh
130,Cairo,Ras Shokeir
131,Cairo,El Qoseir
132,Alexandria,Kafr Saqr
133,Sharqia,Menouf
134,Qena,El Arish
135,Sohag,Hurghada
136,Mansoura,Mit Kenana
137,Cairo,Sherbin
138,Mansoura,Matai
139,Cairo,El Qantara
140,Port Said,El Ibrahimiya
141,Beheira,El Basaliya
142,Alexandria,Bilbeis
143,Giza,Sherbin
144,Alexandria,Kom Ombo
145,Cairo,El Shorouk
146,Luxor,Kafr El Batikh
147,Minya,Qallin
148,Kafr El Sheikh,Sodfa
149,Cairo,Tell El Kebir
150,Alexandria,Marsa Alam
151,Sohag,Tell El Kebir
152,Minya,Edfu
153,Giza,El Qusiya
154,Giza,Monsha'at El-Qanater
155,Cairo,El Ghanayem
156,Cairo,New Minya
157,Giza,Minyet El Nasr
158,Luxor,Badr
159,Ismailia,El Balyana
160,Minya,Ihnasiya
161,Minya,Menouf
162,Giza,Ashmoun
163,Cairo,El Senbellawein
164,Luxor,Wadi El Natrun
165,Cairo,El Tor
166,Monufia,Zagazig
167,BeniSuef,Ras Burqa
168,Cairo,Edku
169,Alexandria,Khanka
170,Giza,Kerdasa
171,Cairo,Ashmoun
172,North Sinai,Edku
173,Alexandria,Dahab
174,Cairo,New Alamein
175,New Valley,El Mahalla El Kubra
176,BeniSuef,Sidi Barrani
177,Ismailia,El Senbellawein
178,Sharqia,El Qoseir
179,Cairo,El Zarqa
180,Cairo,El Zarqa
181,Alexandria,Daraw
182,Dakahlia,Al Khankah
183,Ismailia,Dar El Salam
184,Gharbia,El Husseiniya
185,Gharbia,Obour
186,Gharbia,Rafah
187,Minya,El Qusiya
188,Cairo,Dairut
189,Mansoura,El Delengath
190,Mansoura,El Sarw
191,Faiyum,New Alamein
192,Minya,El Maragha
193,Monufia,Abu Tesht
194,Port Said,El Balyana
195,Alexandria,Samalut
196,Cairo,Faraskur
197,Giza,Shibin El Qanater
198,Minya,Sadat
199,Alexandria,Beni Suef
200,Giza,New Tiba
201,Suez,Dekernes
202,Giza,Al Khankah
203,Giza,Marsa Alam
204,Beheira,Beni Ebeid
205,Asyut,Sodfa
206,Sharqia,Matai
207,Giza,Saint Catherine
208,Cairo,Saqultah
209,BeniSuef,El Alamein
210,Giza,Kotoor
211,Monufia,Deir Mawas
212,Alexandria,Tamiya
213,Cairo,Sadat
214,Qalyubia,El Qantara
215,Cairo,Badr
216,Damietta,New Akhmim
217,Cairo,New Alamein
218,Alexandria,Sumusta El Waqf
219,Minya,Mit Ghamr
220,Giza,Belqas
221,Cairo,Abu El Matamir
222,Cairo,Matai
223,Giza,Mallawi
224,Giza,Ras El Bar
225,Cairo,Sidi Salem
226,Qena,Mit Bera
227,Giza,New Nubariya
228,Minya,Ibsheway
229,Cairo,Nabaroh
230,Cairo,El Mahalla El Kubra
231,Giza,Obour
232,Cairo,Kharga
233,Alexandria,Ras Gharib
234,Alexandria,Itsa
235,Minya,Minyet El Nasr
236,Minya,Marsa Alam
237,Alexandria,Girga
238,Sohag,Ibsheway
239,Cairo,Quesna
240,Gharbia,Dahab
241,Giza,El Maragha
242,Giza,Itay El Barud
243,Faiyum,Ihnasiya
244,Asyut,Borg El Burullus
245,Faiyum,Abu El Matamir
246,Minya,Mit Yazid
247,Kafr El Sheikh,Rafah
248,Red Sea,El Hamool
249,Minya,El Hamool
250,Alexandria,El Zarqa
251,Mansoura,New Nubariya
252,Ismailia,Samalut
253,Mansoura,Kharga
254,Alexandria,El Kareen
255,Beheira,El Bayadiya
256,Giza,El Badari
257,Alexandria,El Saff
258,Giza,El Saff
259,Alexandria,Al Khankah
260,Cairo,Mit Adlan
261,Cairo,Ibsheway
262,Cairo,New Salhia
263,Minya,Mit Yazid
264,Damietta,New Qena
265,Cairo,El Badari
266,Alexandria,Naqada
267,Cairo,Awsim
268,Giza,Ras Shokeir
269,Minya,Girga
270,Alexandria,El Alamein
271,Giza,Tanta
272,Cairo,Qus
273,Aswan,Qalyub
274,Cairo,Talkha
275,Minya,El Reyad
276,Alexandria,Rafah
277,Alexandria,New Qena
278,Cairo,El Balyana
279,Port Said,10th of Ramadan
280,Beheira,Ras Burqa
281,Damietta,Mit Elwan
282,Giza,El Idwa
283,Cairo,Abu Tesht
284,Alexandria,El Kareen
285,Alexandria,Hurghada
286,Alexandria,Fuka
287,Cairo,Qaha
288,Cairo,Samanoud
289,Giza,Safaga
290,Minya,Qaha
291,Alexandria,El Kanayat
292,Giza,El Mahalla El Kubra
293,Alexandria,Faqous
294,Suez,Akhmim
295,Minya,Sheikh Zuweid
296,Cairo,Mersa Matruh
297,Alexandria,Borg El Arab
298,Alexandria,Mit Yazid
299,Cairo,El Hamam
300,Giza,Baltim
301,Kafr El Sheikh,Birket El Sab
302,Cairo,El Gamaliya
303,Cairo,Mashtool El Souk
304,Giza,El Gamaliya
305,Minya,Safaga
306,Dakahlia,Nabaroh
307,Gharbia,Kharga
308,Alexandria,Menouf
309,Cairo,El Qantara
310,Giza,Quesna
311,Port Said,El Ayyat
312,Alexandria,Tahta
313,Cairo,Basyoun
314,Cairo,Abu Hummus
315,North Sinai,Metoubes
316,Qalyubia,El Sarw
317,Sharqia,Biba
318,Alexandria,Tukh
319,Minya,El Balyana
320,Alexandria,Mallawi
321,Beheira,El Fashn
322,Cairo,Sumusta El Waqf
323,Gharbia,Borg El Arab
324,Beheira,Mit Abu El Kom
325,North Sinai,Talkha
326,Cairo,Kafr El Zayat
327,Giza,Bilbeis
328,Dakahlia,Shubra El Kheima
329,Giza,Farshut
330,Cairo,Arish
331,Alexandria,Mut
332,Cairo,El Rhoda
333,Suez,Kafr El Batikh
334,Giza,15th of May
335,Beheira,Qift
336,New Valley,Ras Shokeir
337,Cairo,Rosetta
338,Sohag,New Alamein
339,Luxor,Kafr Shukr
340,Cairo,Maghagha
341,Alexandria,Beni Ebeid
342,Alexandria,Fuka
343,Cairo,El Kareen
344,Giza,El Delengath
345,BeniSuef,Hurghada
346,Alexandria,Mit Ghamr
347,New Valley,Kom Ombo
348,Cairo,Esna
349,Mansoura,Biyala
350,Alexandria,New Cairo
351,Gharbia,Nabaroh
352,Cairo,Fuka
353,Cairo,Beni Mazar
354,Sharqia,Sers El Lyan
355,Gharbia,Banha
356,Alexandria,El Arish
357,Giza,El Mahalla El Kubra
358,Alexandria,6th of October
359,Giza,El Kanayat
360,Luxor,Ras Shokeir
361,Alexandria,Qift
362,Faiyum,Hurghada
363,Mansoura,El Hamool
364,Minya,Tahta
365,Ismailia,El Dabaa
366,Minya,Beni Mazar
367,Minya,Mit Salsil
368,Alexandria,Sumusta El Waqf
369,Giza,Ras Gharib
370,Alexandria,New Alamein
371,Dakahlia,Banha
372,Luxor,El Zarqa
373,Mansoura,Hurghada
374,Port Said,Naqada
375,Alexandria,Dairut
376,Mansoura,Esna
377,Qalyubia,Edfu
378,Cairo,Shubra Khit
379,Suez,Sumusta El Waqf
380,Cairo,Bush
381,Cairo,Sahel Selim
382,Beheira,El Senbellawein
383,Cairo,Wadi El Natrun
384,Alexandria,Nabaroh
385,New Valley,Ezbet El Borg
386,Giza,El Badari
387,Mansoura,Dekernes
388,Cairo,Edku
389,Cairo,10th of Ramadan
390,Cairo,Sadat
391,Gharbia,Hihya
392,Giza,El Hamool
393,Beheira,Kafr Shukr
394,South Sinai,Mit Abu El Kom
395,Giza,El Tor
396,Alexandria,Kafr Saad
397,Ismailia,El Sarw
398,Cairo,Menouf
399,Giza,Abu Hummus
400,Port Said,New Borg El Arab
401,Damietta,Matai
402,Alexandria,El Mahmoudiyah
403,Giza,Borg El Burullus
404,Alexandria,Itsa
405,Cairo,Ashmoun
406,Mansoura,Marsa Alam
407,Minya,Mit Bera
408,Faiyum,Qallin
409,Cairo,Belqas
410,Alexandria,El Hawamdeya
411,Giza,El Tor
412,Asyut,New Borg El Arab
413,Minya,Kom Ombo
414,Giza,Ras Gharib
415,Cairo,Arish
416,Cairo,Mit Ghamr
417,Luxor,El Badari
418,Aswan,El Basaliya
419,Alexandria,El Qanater El Khayreya
420,Alexandria,Abu Hummus
421,Minya,Metoubes
422,Minya,El Ayyat
423,Kafr El Sheikh,Banha
424,Asyut,Mit Fadala
425,Cairo,El Balyana
426,Alexandria,Dairut
427,BeniSuef,El Kanayat
428,Alexandria,Saqultah
429,Alexandria,Kafr Saqr
430,Minya,Mit Adlan
431,Cairo,Juhayna
432,Giza,Kafr Zarqan
433,Cairo,El Alamein
434,Minya,New Minya
435,Mansoura,El Manzala
436,Mansoura,El Manzala
437,Cairo,Mit Sudan
438,Giza,El Hawamdeya
439,Cairo,Sidi Barrani
440,Asyut,Shibin El Kom
441,Cairo,Awsim
442,Monufia,El Dabaa
443,Cairo,Mit Bera
444,Cairo,New Salhia
445,Alexandria,Mit Ghamr
446,Cairo,Safaga
447,Alexandria,El Maragha
448,Giza,El Qusiya
449,Alexandria,El Ibrahimiya
450,Alexandria,Kom Hamada
451,Giza,Mit Sudan
452,Cairo,El Rhoda
453,Mansoura,Mit Fadala
454,Dakahlia,Kafr El Batikh
455,Minya,Mit Kenana
456,Cairo,Mit Fadala
457,Giza,Shibin El Qanater
458,Giza,Metoubes
459,New Valley,El Qanater El Khayreya
460,Cairo,Sheikh Zuweid
461,Alexandria,Kafr Saqr
462,Suez,Ibsheway
463,Giza,Tell El Kebir
464,Sohag,Saint Catherine
465,Damietta,Borg El Burullus
466,Minya,Biyala
467,Alexandria,Mit Ghamr
468,Ismailia,New Nubariya
469,Port Said,Borg El Arab
470,Giza,Damanhur
471,Minya,Ibsheway
472,Cairo,Fayed
473,Gharbia,Beni Suef
474,Giza,El Zarqa
475,Mansoura,Mit Kenana
476,Cairo,Awsim
477,Alexandria,Ras El Bar
478,Luxor,El Arish
479,Cairo,New Sohag
480,Cairo,El Bagour
481,Alexandria,El Kanayat
482,Cairo,Akhmim
483,New Valley,Mit Ghamr
484,Alexandria,Fuka
485,Minya,Ras El Bar
486,Giza,El Kareen
487,New Valley,Samalut
488,Cairo,El Husseiniya
489,Minya,El Sarw
490,Giza,Daraw
491,Aswan,New Qena
492,Mansoura,El Sarw
493,Kafr El Sheikh,Edku
494,Alexandria,Mit Sudan
495,Alexandria,Esna
496,Minya,Mallawi
497,Alexandria,El Bagour
498,Alexandria,El Alamein
499,Alexandria,Rosetta
500,Alexandria,Ihnasiya
501,Giza,Tanta
502,Alexandria,Metoubes
503,Alexandria,Dekernes
504,Damietta,Safaga
505,Minya,El Bagour
506,Minya,El Bagour
507,South Sinai,Faqous
508,Cairo,New Aswan
509,Damietta,Beni Ebeid
510,Cairo,Rafah
511,Cairo,Abu Hummus
512,Cairo,Mit Yazid
513,Asyut,New Tiba
514,Minya,Kafr El Batikh
515,Alexandria,Kafr Saqr
516,Mansoura,Sers El Lyan
517,Alexandria,Baltim
518,Minya,Al Khankah
519,Giza,New Faiyum
520,Aswan,New Aswan
521,Minya,Qift
522,Giza,Kafr Shukr
523,Beheira,El Fashn
524,Minya,Maghagha
525,Alexandria,El Ibrahimiya
526,Cairo,Qallin
527,Asyut,El Rhoda
528,Alexandria,New Salhia
529,Luxor,10th of Ramadan
530,Minya,Hurghada
531,Cairo,Banha
532,Cairo,6th of October
533,Alexandria,Kafr El Dawwar
534,Kafr El Sheikh,Beni Ebeid
535,Alexandria,Baltim
536,Alexandria,Mit Abu El Kom
537,Faiyum,Sahel Selim
538,Beheira,Matai
539,Suez,El Delengath
540,Monufia,Dairut
541,Alexandria,Kafr El Zayat
542,Giza,Sherbin
543,Asyut,El Rahmaniya
544,Ismailia,New Salhia
545,Sharqia,Sherbin
546,Cairo,Mit Rahina
547,Minya,El Manzala
548,Alexandria,Deir Mawas
549,Cairo,New Akhmim
550,Beheira,El Qusiya
551,Giza,Fuka
552,Cairo,Shibin El Qanater
553,Cairo,Dar El Salam
554,Matruh,Daraw
555,Qena,Nag Hammadi
556,Qena,El Maragha
557,Giza,Tamiya
558,Cairo,Qus
559,Suez,Tala
560,Cairo,New Minya
561,Giza,El Mahalla El Kubra
562,Cairo,El Qoseir
563,Alexandria,El Mansha
564,Mansoura,Sherbin
565,Alexandria,El Waqf
566,BeniSuef,Biba
567,Matruh,El Ghanayem
568,Cairo,El Ayyat
569,Qalyubia,El Sarw
570,Giza,El Alamein
571,Alexandria,El Idwa
572,Minya,Zagazig
573,Cairo,Shibin El Qanater
574,North Sinai,Badr
575,Ismailia,El Sebaiya
576,Giza,Kafr Saad
577,Gharbia,Ezbet El Borg
578,Cairo,Mit Abu Ghaleb
579,Minya,Fuka
580,Monufia,Beni Suef
581,Alexandria,Bush
582,Cairo,Itay El Barud
583,Alexandria,El Arish
584,Alexandria,Banha
585,Giza,Menouf
586,Aswan,Dar El Salam
587,Aswan,Matai
588,Kafr El Sheikh,Shubra El Kheima
589,Dakahlia,Wadi El Natrun
590,Cairo,Dahab
591,Alexandria,Ashmoun
592,Damietta,Arish
593,Giza,El Basaliya
594,Cairo,El Basaliya
595,Mansoura,El Delengath
596,Faiyum,Maghagha
597,Cairo,Abu Hummus
598,South Sinai,Naqada
599,Alexandria,Kafr Saad
600,Giza,Monsha'at El-Qanater
601,Suez,Abu Hummus
602,Gharbia,Mit Fadala
603,Cairo,Borg El Arab
604,Giza,Bilbeis
605,Cairo,El Hawamdeya
606,Mansoura,El Hawamdeya
607,Minya,Wadi El Natrun
608,Alexandria,Basyoun
609,Mansoura,Sers El Lyan
610,Faiyum,Dahab
611,Minya,Ihnasiya
612,Qalyubia,El Bayadiya
613,Mansoura,Bilbeis
614,Gharbia,Beni Ebeid
615,Kafr El Sheikh,Shubra Khit
616,Giza,New Salhia
617,Monufia,El Wasta
618,Monufia,Kerdasa
619,Matruh,Beni Mazar
620,Faiyum,El Wasta
621,Alexandria,New Qena
622,Minya,Zagazig
623,Alexandria,Faqous
624,Mansoura,Kharga
625,Cairo,Ihnasiya
626,Minya,Sherbin
627,Matruh,Khusus
628,Alexandria,10th of Ramadan
629,Giza,El Manzala
630,Giza,Ras El Bar
631,Minya,Farshut
632,Cairo,El Alamein
633,Minya,El Matareya
634,Gharbia,Mit Salsil
635,Gharbia,Mit Yazid
636,Alexandria,Kafr El Dawwar
637,Giza,Borg El Arab
638,Minya,Mut
639,BeniSuef,New Asyut
640,Alexandria,Mit Salsil
641,BeniSuef,El Fashn
642,Alexandria,Tanta
643,Alexandria,El Alamein
644,Giza,Kom Hamada
645,Minya,Saint Catherine
646,Cairo,Itsa
647,Beheira,El Qoseir
648,Gharbia,Menouf
649,Cairo,Quesna
650,Ismailia,Mit Bera
651,Giza,New Faiyum
652,Cairo,Tanta
653,Alexandria,Mit Bera
654,Aswan,El Manzala
655,Giza,Ibsheway
656,Giza,New Faiyum
657,Minya,Edfu
658,Suez,Faraskur
659,Cairo,Sidi Salem
660,BeniSuef,Manfalut
661,Matruh,Sheikh Zuweid
662,North Sinai,New Cairo
663,Cairo,Beni Mazar
664,South Sinai,Matai
665,Cairo,Samanoud
666,Mansoura,Mit Yazid
667,Giza,Khanka
668,Cairo,Kom Ombo
669,Alexandria,Shibin El Qanater
670,Alexandria,Girga
671,Alexandria,Badr
672,Ismailia,Zefta
673,Giza,Wadi El Natrun
674,Cairo,Sidi Salem
675,Aswan,Mit Kenana
676,Cairo,Wadi El Natrun
677,Giza,Rafah
678,Giza,El Senbellawein
679,Minya,Mit Bera
680,Alexandria,Damanhur
681,Alexandria,Mit Ghamr
682,Beheira,Kafr El Dawwar
683,Cairo,Mit Abu Ghaleb
684,Kafr El Sheikh,Girga
685,Alexandria,El Husseiniya
686,Alexandria,Esna
687,Giza,Qaha
688,Cairo,New Beni Suef
689,Minya,Borg El Arab
690,Cairo,Dahab
691,Giza,Mallawi
692,Cairo,New Damietta
693,Giza,Shibin El Qanater
694,Cairo,El Shohada
695,Mansoura,Mit Yazid
696,Dakahlia,El Tor
697,Cairo,Mashtool El Souk
698,Giza,Khanka
699,Dakahlia,Mit Kenana
700,Giza,Tima
701,Beheira,Borg El Arab
702,Mansoura,El Kanayat
703,Alexandria,Samalut
704,Giza,Kotoor
705,Minya,Sahel Selim
706,South Sinai,Kafr Saad
707,North Sinai,Siwa Oasis
708,BeniSuef,Sadat
709,Matruh,Birket El Sab
710,Mansoura,Abu El Matamir
711,Red Sea,Ras Sedr
712,Minya,Esna
713,Giza,El Sebaiya
714,Alexandria,Deir Mawas
715,Cairo,Borg El Burullus
716,Alexandria,Kafr El Dawwar
717,Alexandria,Girga
718,Minya,Edfu
719,Qalyubia,Maadi
720,Qalyubia,El Qoseir
721,Alexandria,Tima
722,Qena,Ibsheway
723,Faiyum,Bilbeis
724,Cairo,Mashtool El Souk
725,New Valley,El Rhoda
726,Cairo,Arish
727,Dakahlia,El Bayadiya
728,Dakahlia,Sherbin
729,North Sinai,Matai
730,Minya,El Ghanayem
731,Cairo,Mersa Matruh
732,Mansoura,El Balyana
733,Alexandria,Ihnasiya
734,Giza,El Ayyat
735,Alexandria,Mersa Matruh
736,Cairo,Rafah
737,Cairo,Sahel Selim
738,Cairo,Mashtool El Souk
739,Cairo,Ihnasiya
740,Cairo,Damanhur
741,Ismailia,El Mahmoudiyah
742,Alexandria,Mit Ghamr
743,Cairo,Shubra Khit
744,Dakahlia,Saqultah
745,Cairo,Maghagha
746,Cairo,Quesna
747,Mansoura,El Hamool
748,Cairo,Nabaroh
749,Alexandria,El Balyana
750,Cairo,Arish
751,Giza,Mit Bera
752,Alexandria,El Balyana
753,Aswan,Kafr Saad
754,North Sinai,Mut
755,Alexandria,Ibsheway
756,Cairo,Tell El Kebir
757,Cairo,Mersa Matruh
758,Giza,El Gamaliya
759,Alexandria,Bush
760,Alexandria,Zefta
761,Alexandria,Nag Hammadi
762,Cairo,Tamiya
763,Cairo,Sahel Selim
764,Giza,Dekernes
765,Alexandria,Tala
766,Alexandria,El Mahalla El Kubra
767,Alexandria,Ashmoun
768,Alexandria,Ihnasiya
769,Damietta,Beni Suef
770,Kafr El Sheikh,Zagazig
771,Mansoura,Qaha
772,Alexandria,Rafah
773,Dakahlia,Mit Adlan
774,Alexandria,Dairut
775,Giza,Sidi Barrani
776,Minya,Sers El Lyan
777,Minya,Kotoor
778,Cairo,Edfu
779,Cairo,Mut
780,Suez,Al Khankah
781,Mansoura,Sherbin
782,Mansoura,Sodfa
783,Minya,El Badari
784,Giza,Kotoor
785,Alexandria,New Salhia
786,Alexandria,Baltim
787,Port Said,Zefta
788,Dakahlia,New Salhia
789,Minya,Nabaroh
790,Minya,Itsa
791,Kafr El Sheikh,El Manzala
792,Cairo,Ras Shokeir
793,Cairo,Beni Mazar
794,Gharbia,El Santa
795,Faiyum,Girga
796,BeniSuef,El Sarw
797,Cairo,Belqas
798,Kafr El Sheikh,Ihnasiya
799,Asyut,Dahab
800,Alexandria,Mersa Matruh
801,Cairo,El Mansha
802,Cairo,Safaga
803,BeniSuef,Tukh
804,Alexandria,Ashmoun
805,Cairo,Maadi
806,Faiyum,New Nubariya
807,Mansoura,Beni Mazar
808,Kafr El Sheikh,Borg El Arab
809,Qalyubia,Biba
810,Cairo,Bush
811,Luxor,El Manzala
812,Cairo,Metoubes
813,Alexandria,Belqas
814,Giza,New Sohag
815,Alexandria,El Maragha
816,Dakahlia,El Qanater El Khayreya
817,Cairo,El Qusiya
818,Alexandria,Siwa Oasis
819,Minya,Mit El Korama
820,Matruh,El Mahmoudiyah
821,Alexandria,El Basaliya
822,Cairo,El Dabaa
823,Alexandria,El Manzala
824,Alexandria,6th of October
825,Giza,Abu Hummus
826,Red Sea,Dar El Salam
827,Alexandria,Maadi
828,Giza,Kafr El Dawwar
829,Giza,Tima
830,Alexandria,Belqas
831,Giza,6th of October
832,Giza,El Rahmaniya
833,Minya,Shibin El Qanater
834,North Sinai,Mersa Matruh
835,Gharbia,Mit Rahina
836,South Sinai,Kafr Zarqan
837,Giza,Nag Hammadi
838,Mansoura,Basyoun
839,Mansoura,Tukh
840,Ismailia,Quesna
841,New Valley,El Bagour
842,Port Said,Ras Sedr
843,Alexandria,Siwa Oasis
844,Mansoura,Sers El Lyan
845,Cairo,El Zarqa
846,Giza,Fuka
847,Cairo,Maghagha
848,Minya,Qallin
849,Alexandria,Mit Kenana
850,Gharbia,Sodfa
851,Minya,Mit Bera
852,Alexandria,Samanoud
853,Matruh,El Reyad
854,Monufia,Mit Sudan
855,Alexandria,Tukh
856,New Valley,El Shohada
857,Giza,Khusus
858,Luxor,Belqas
859,Cairo,Qus
860,Beheira,El Badrashein
861,Gharbia,Minyet El Nasr
862,Giza,El Ibrahimiya
863,Giza,Itsa
864,New Valley,El Husseiniya
865,Gharbia,Mit Yazid
866,Monufia,El Mansha
867,Giza,Mit Fadala
868,Giza,El Qoseir
869,Giza,El Bayadiya
870,Cairo,Sers El Lyan
871,Red Sea,Beni Ebeid
872,Alexandria,Al Khankah
873,Alexandria,Kafr El Zayat
874,Giza,Saint Catherine
875,Mansoura,Maghagha
876,Faiyum,El Mansha
877,Mansoura,El Hawamdeya
878,Cairo,Badr
879,Minya,El Matareya
880,Faiyum,Tanta
881,Alexandria,Zagazig
882,Cairo,Dairut
883,Cairo,Mersa Matruh
884,Minya,El Senbellawein
885,Cairo,Marsa Alam
886,Minya,El Senbellawein
887,Luxor,El Shohada
888,Alexandria,Beni Suef
889,Alexandria,Hurghada
890,Alexandria,Mit Abu El Kom
891,Ismailia,Wadi El Natrun
892,Cairo,El Mahmoudiyah
893,Alexandria,Monsha'at El-Qanater
894,Cairo,Mit Ghamr
895,Cairo,Nag Hammadi
896,Giza,Maadi
897,Minya,Sodfa
898,Cairo,El Basaliya
899,Giza,New Minya
900,Mansoura,El Senbellawein
901,South Sinai,El Zarqa
902,Asyut,Sahel Selim
903,Asyut,Beni Suef
904,Alexandria,El Balyana
905,Luxor,Sidi Barrani
906,Cairo,Ihnasiya
907,Alexandria,Kafr Shukr
908,Port Said,Rafah
909,Minya,Marsa Alam
910,Alexandria,Mit Adlan
911,Alexandria,Sheikh Zuweid
912,New Valley,Ibsheway
913,BeniSuef,Itay El Barud
914,Mansoura,Qallin
915,Minya,El Badari
916,Cairo,Mit Rahina
917,Dakahlia,El Bayadiya
918,Cairo,El Maragha
919,Giza,Monsha'at El-Qanater
920,Sharqia,Quesna
921,Port Said,El Hamool
922,Cairo,El Santa
923,Minya,Qift
924,Cairo,Rafah
925,Minya,New Minya
926,Giza,Rafah
927,Giza,El Dabaa
928,Luxor,Ashmoun
929,North Sinai,Edfu
930,Cairo,Mit Fadala
931,Cairo,Tala
932,Port Said,Itay El Barud
933,Cairo,Dekernes
934,Cairo,New Tiba
935,Mansoura,Sherbin
936,Giza,New Minya
937,Giza,Girga
938,Alexandria,New Beni Suef
939,Cairo,Ihnasiya
940,Asyut,Mit El Korama
941,Giza,Sherbin
942,Cairo,Kafr El Dawwar
943,Mansoura,El Saff
944,South Sinai,Hurghada
945,Damietta,Naqada
946,Alexandria,Mit El Korama
947,Cairo,El Hamool
948,Cairo,Beni Mazar
949,Giza,Abu Tesht
950,Red Sea,Marsa Alam
951,Qena,Sheikh Zuweid
952,Alexandria,Banha
953,New Valley,Qaha
954,Qalyubia,Mit Abu Ghaleb
955,Luxor,Kafr El Batikh
956,Cairo,Nag Hammadi
957,Giza,El Sebaiya
958,Sharqia,Shubra Khit
959,Suez,Shibin El Kom
960,Giza,Kotoor
961,Qena,Sadat
962,Cairo,Shubra Khit
963,Faiyum,Belqas
964,Alexandria,El Manzala
965,Minya,Shibin El Qanater
966,Qalyubia,Sadat
967,Cairo,Kafr Saqr
968,North Sinai,New Sohag
969,Kafr El Sheikh,15th of May
970,Ismailia,El Zarqa
971,Giza,New Cairo
972,Sharqia,Monsha'at El-Qanater
973,Matruh,El Wasta
974,Giza,El Zarqa
975,Mansoura,El Rahmaniya
976,Ismailia,Nabaroh
977,Minya,El Tor
978,Mansoura,Qalyub
979,Qalyubia,Hosh Essa
980,Giza,6th of October
981,Minya,Talkha
982,Cairo,Tamiya
983,Alexandria,New Sohag
984,Giza,Tamiya
985,Qalyubia,Sahel Selim
986,Mansoura,El Zarqa
987,Monufia,Hihya
